,,,Regione;Dotazione_riscaldamento;Dotazione_acqua_calda;Dotazione_condizionamento
Veneto;99,5;99,8;70,0
Emilia-Romagna;99,7;99,9;60,3
Sardegna;97,5;99,7;59,9
Valle Aosta;99,7;99,6;4,7
Trentino-Alto Adige;99,5;99,6;15,2
Bolzano;99,4;99,3;14,4
