Regione;Dotazione_riscaldamento;Dotazione_acqua_calda;Dotazione_condizionamento
Valle Aosta;99,7;99,6;4,7
Trentino-Alto Adige;99,5;99,6;15,2
Bolzano;99,4;99,3;14,4
